SampleID,Longitude,Latitude,AWCh1,AWCh2,AWCh3,AWCtS,bio_01,bio_02,bio_03,bio_04,bio_05,bio_06,bio_07,bio_08,bio_09,bio_10,bio_11,bio_12,bio_13,bio_14,bio_15,bio_16,bio_17,bio_18,bio_19,BLDFIE,CECSOL,CLYPPT,CRFVOL,OCDENS,OCSTHA,ORCDRC,PHIHOX,PHIKCL,SLTPPT,SNDPPT,TEXMHT,WWP
ALL_RunHi1c-TAG-1.bam,2.4976,10.4767,15,12,10,40,26.97374916,12.81083202,70.38918304,178.2363281,35,16.79999924,18.20000076,25.18499947,26.0866642,29.51999855,25.18499947,1030.800171,242.9000702,0,106.3576431,652.8001099,3,174,652.8001099,1468,5,15,7,25,16,75,61,52,25,60,9,15
ALL_RunHi1c-TAG-10.bam,2.5022,8.4561,13,10,8,41,27.01999855,11.06500053,69.19966125,157.8794098,34.20000076,18.20999336,15.99000645,25.03666496,27.21666718,29.11999702,25.03666496,1026.700195,170,6,73.53089905,471.8001404,21.90006447,163,471.8001404,1421,29,10,15,76,16,75,62,54,19,71,9,17
ALL_RunHi1c-TAG-11.bam,1.9786,8.3744,13,10,8,43,26.72250366,11.13500404,70.92359924,145.3509521,33.79000473,18.09000587,15.69999886,24.89167213,26.89333725,28.66000366,24.89167213,1064.599609,181,5,78.42329407,523.1998901,16.09993553,160.0999298,523.1998901,1400,33,19,13,116,10,29,62,52,21,60,6,21
ALL_RunHi1c-TAG-12.bam,1.8039,7.5203,16,12,9,41,26.98707771,10.12749767,69.84481812,146.1255798,33.60999298,19.10999489,14.49999809,26.14166069,27.58999443,28.72665977,25.07499504,1011.600281,143.9000702,7,67.01924896,417.7001953,30,201,408.8001404,1406,8,10,18,86,5,0,64,56,17,74,9,11
ALL_RunHi1c-TAG-22.bam,1.8156,7.4958,17,12,9,42,27.11166763,10.10666847,70.18518829,146.0719604,33.70000076,19.29999924,14.40000153,26.28166771,27.71666718,28.85000038,25.19833374,1008.099915,143,7,66.4076004,414,31,203.1998749,403.9000549,1401,8,12,15,112,5,2,65,57,19,69,9,12
ALL_RunHi1c-TAG-23.bam,1.8156,7.4958,17,12,9,42,27.11166763,10.10666847,70.18518829,146.0719604,33.70000076,19.29999924,14.40000153,26.28166771,27.71666718,28.85000038,25.19833374,1008.099915,143,7,66.4076004,414,31,203.1998749,403.9000549,1401,8,12,15,112,5,2,65,57,19,69,9,12
ALL_RunHi1c-TAG-24.bam,2.1563,6.3882,12,9,7,43,27.22291756,7.09417057,65.74766541,122.861496,32.09000397,21.29999924,10.79000568,27.58000183,27.94833374,28.71333504,25.61500168,1139.700195,273,9,79.38833618,574,57.09993362,229,281.8001404,1386,37,18,7,179,13,31,59,52,16,66,9,21
ALL_RunHi1c-TAG-25.bam,2.1563,6.3879,12,9,7,43,27.22291756,7.09417057,65.74766541,122.861496,32.09000397,21.29999924,10.79000568,27.58000183,27.94833374,28.71333504,25.61500168,1139.700195,273,9,79.38833618,574,57.09993362,229,281.8001404,1386,37,18,7,179,13,31,59,52,16,66,9,21
ALL_RunHi1c-TAG-3.bam,2.0163,8.3663,14,10,8,44,26.74541473,11.04750156,70.41123962,148.3848724,33.79999924,18.10999489,15.6900053,24.87332916,26.92166328,28.71666718,24.87332916,1053.900024,177,5,78.18254852,516.8001099,16,159,516.8001099,1349,33,18,16,100,9,27,61,53,22,61,9,21
ALL_RunHi1c-TAG-32.bam,2.1564,6.3878,12,9,7,43,27.22291756,7.09417057,65.74766541,122.861496,32.09000397,21.29999924,10.79000568,27.58000183,27.94833374,28.71333504,25.61500168,1139.700195,273,9,79.38833618,574,57.09993362,229,281.8001404,1386,37,18,7,179,13,31,59,52,16,66,9,21
ALL_RunHi1c-TAG-33.bam,2.3159,10.2272,16,12,10,40,26.6641674,12.61500072,71.27119446,170.4283447,34.29000473,16.59000587,17.69999886,24.89666939,25.93000221,29.03000259,24.89666939,1073.39978,241.0999298,1,101.8708572,659.2998047,5,79,659.2998047,1452,6,16,11,49,14,63,63,51,24,60,9,15
ALL_RunHi1c-TAG-34.bam,2.3067,10.1826,14,10,8,41,26.57541847,12.33250618,71.28616333,168.92836,34,16.70000076,17.29999924,24.77833748,25.93000221,28.9283371,24.77833748,1075.199829,242,1,102.1156616,663,5,78.09993744,663,1439,19,19,13,68,15,67,62,51,21,60,6,18
ALL_RunHi1c-TAG-35.bam,1.8165,7.497,17,12,9,42,27.11166763,10.10666847,70.18518829,146.0719604,33.70000076,19.29999924,14.40000153,26.28166771,27.71666718,28.85000038,25.19833374,1008.099915,143,7,66.4076004,414,31,203.1998749,403.9000549,1401,8,12,15,112,5,2,65,57,19,69,9,12
ALL_RunHi1c-TAG-36.bam,1.7976,7.5293,16,11,9,40,26.95833015,10.15999794,70.0689621,146.883606,33.59999847,19.10000038,14.49999809,26.11999702,27.55499649,28.71833229,25.03666496,1013.700195,144,8,66.86550903,417.9000549,31,201.9000702,410.8001404,1440,8,10,21,92,5,1,64,56,17,73,9,11
