Name,GenBank ID,Field identification,Country,Longitude,Latitude,Population assignment,Population_assignment,Name_V2,Seq_name,SampleID
A52,SRR8451376,D. abyssinica,Benin,2.4976,10.4767,D. abyssinica,D. abyssinica,A52,RunHi1c-TAG-1,ALL_RunHi1c-TAG-1.bam
A62,SRR8451375,D. abyssinica,Benin,2.5022,8.4561,D. abyssinica,D. abyssinica,A62,RunHi1c-TAG-10,ALL_RunHi1c-TAG-10.bam
A67,SRR8451343,D. abyssinica,Benin,1.9786,8.3744,D. abyssinica,D. abyssinica,A67,RunHi1c-TAG-11,ALL_RunHi1c-TAG-11.bam
A420,SRR8451344,D. abyssinica,Benin,1.8039,7.5203,Hybrid,Western D. praehensilis x D. rotundata,A420,RunHi1c-TAG-12,ALL_RunHi1c-TAG-12.bam
P424,SRR8451426,D. praehensilis,Benin,1.8156,7.4958,Western D. praehensilis,Western D. praehensilis,P424,RunHi1c-TAG-22,ALL_RunHi1c-TAG-22.bam
P425,SRR8451427,D. praehensilis,Benin,1.8156,7.4958,Western D. praehensilis,Western D. praehensilis,P425,RunHi1c-TAG-23,ALL_RunHi1c-TAG-23.bam
P457,SRR8451428,D. praehensilis,Benin,2.1563,6.3882,Western D. praehensilis,Western D. praehensilis,P457,RunHi1c-TAG-24,ALL_RunHi1c-TAG-24.bam
P462,SRR8451429,D. praehensilis,Benin,2.1563,6.3879,Western D. praehensilis,Western D. praehensilis,P462,RunHi1c-TAG-25,ALL_RunHi1c-TAG-25.bam
P323,SRR8451435,D. praehensilis,Benin,2.0163,8.3663,Western D. praehensilis,Western D. praehensilis,P323,RunHi1c-TAG-3,ALL_RunHi1c-TAG-3.bam
P464,SRR8451436,D. praehensilis,Benin,2.1564,6.3878,Western D. praehensilis,Western D. praehensilis,P464,RunHi1c-TAG-32,ALL_RunHi1c-TAG-32.bam
A467,SRR8451345,D. abyssinica,Benin,2.3159,10.2272,D. abyssinica,D. abyssinica,A467,RunHi1c-TAG-33,ALL_RunHi1c-TAG-33.bam
A537,SRR8451346,D. abyssinica,Benin,2.3067,10.1826,D. abyssinica,D. abyssinica,A537,RunHi1c-TAG-34,ALL_RunHi1c-TAG-34.bam
P599,SRR8451411,D. praehensilis,Benin,1.8165,7.497,Hybrid,Western D. praehensilis x D. rotundata,P599,RunHi1c-TAG-35,ALL_RunHi1c-TAG-35.bam
P624,SRR8451410,D. praehensilis,Benin,1.7976,7.5293,Hybrid,D. abyssinica x  D. rotundata,P624,RunHi1c-TAG-36,ALL_RunHi1c-TAG-36.bam
