"id","population","total_roh_length","n_roh","Froh"
"ALL_RunHi1c-TAG-10.bam","D. abyssinica",6604,1,1.44749340631026e-05
"ALL_RunHi1c-TAG-11.bam","D. abyssinica",28997,2,6.35568841653221e-05
"ALL_RunHi1c-TAG-12.bam","Western D. praehensilis x D. rotundata",9244,1,2.02614007388432e-05
"ALL_RunHi1c-TAG-22.bam","Western D. praehensilis",6538,1,1.43302723962091e-05
"ALL_RunHi1c-TAG-23.bam","Western D. praehensilis",3806,1,8.34215612419271e-06
"ALL_RunHi1c-TAG-24.bam","Western D. praehensilis",8562,2,1.87665635142769e-05
"ALL_RunHi1c-TAG-25.bam","Western D. praehensilis",8396,2,1.84027175036054e-05
"ALL_RunHi1c-TAG-3.bam","Western D. praehensilis",11339,2,2.48533127409935e-05
"ALL_RunHi1c-TAG-32.bam","Western D. praehensilis",7262,1,1.59171670451622e-05
"ALL_RunHi1c-TAG-33.bam","D. abyssinica",11452,2,2.51009910494627e-05
"ALL_RunHi1c-TAG-34.bam","D. abyssinica",6827,1,1.49637151497277e-05
"ALL_RunHi1c-TAG-35.bam","Western D. praehensilis x D. rotundata",11356,3,2.48905740794357e-05
"ALL_RunHi1c-TAG-38.bam","D. rotundata",11349,2,2.48752311753713e-05
"ALL_RunHi1c-TAG-39.bam","D. rotundata",5998,2,1.31466769398076e-05
"ALL_RunHi1c-TAG-44.bam","D. rotundata",12098,3,2.65169219102689e-05
"ALL_RunHi1c-TAG-47.bam","D. rotundata",3806,1,8.34215612419271e-06
"ALL_RunHi1c-TAG-5.bam","D. rotundata",13774,3,3.01904515119891e-05
"ALL_RunHi1c-TAG-50.bam","D. rotundata",25543,4,5.59862569312281e-05
"ALL_RunHi1c-TAG-51.bam","D. rotundata",13760,3,3.01597657038601e-05
"ALL_RunHi1c-TAG-53.bam","D. abyssinica",8954,2,1.96257661418869e-05
"ALL_RunHi1c-TAG-54.bam","Western D. praehensilis",1630,1,3.57270480358227e-06
"ALL_RunHi4c-TAG-100.bam","D. abyssinica",7220,1,1.58251096207754e-05
"ALL_RunHi4c-TAG-40.bam","Western D. praehensilis",1705,1,3.73709306141581e-06
"ALL_RunHi4c-TAG-41.bam","Western D. praehensilis",61288,3,0.000134333700614693
"ALL_RunHi4c-TAG-42.bam","Western D. praehensilis",13790,3,3.02255210069935e-05
"ALL_RunHi4c-TAG-43.bam","Western D. praehensilis",15258,3,3.34431471736554e-05
"ALL_RunHi4c-TAG-44.bam","Western D. praehensilis",11107,2,2.43448050634284e-05
"ALL_RunHi4c-TAG-46.bam","Western D. praehensilis x D. rotundata",15713,3,3.44404359378455e-05
"ALL_RunHi4c-TAG-47.bam","Western D. praehensilis x D. rotundata",15192,3,3.32984855067619e-05
"ALL_RunHi4c-TAG-48.bam","D. rotundata",30234,2,6.62681944978566e-05
"ALL_RunHi4c-TAG-49.bam","D. rotundata",29585,2,6.48456881067371e-05
"ALL_RunHi4c-TAG-50.bam","D. rotundata",33830,3,7.41500635001154e-05
"ALL_RunHi4c-TAG-51.bam","D. rotundata",7012,1,1.53692061857171e-05
"ALL_RunHi4c-TAG-52.bam","D. rotundata",12029,2,2.6365684713062e-05
"ALL_RunHi4c-TAG-54.bam","D. rotundata",25285,2,5.54207613242808e-05
"ALL_RunHi4c-TAG-56.bam","D. rotundata",16343,3,3.58212973036472e-05
"ALL_RunHi4c-TAG-57.bam","D. rotundata",18173,4,3.98323707947856e-05
