"group","id","chrom","nSNP","from","to","lengthBps","population","Country"
"-9","ALL_RunHi1c-TAG-10.bam","BDMI01000005.1",22,12404970,12411574,6604,"D. abyssinica","Benin"
"-9","ALL_RunHi1c-TAG-11.bam","BDMI01000005.1",22,12405369,12412048,6679,"D. abyssinica","Benin"
"-9","ALL_RunHi1c-TAG-11.bam","BDMI01000010.1",24,557325,579643,22318,"D. abyssinica","Benin"
"-9","ALL_RunHi1c-TAG-12.bam","BDMI01000010.1",22,549981,559225,9244,"Western D. praehensilis x D. rotundata","Benin"
"-9","ALL_RunHi1c-TAG-22.bam","BDMI01000005.1",20,12405036,12411574,6538,"Western D. praehensilis","Benin"
"-9","ALL_RunHi1c-TAG-23.bam","BDMI01000010.1",21,557887,561693,3806,"Western D. praehensilis","Benin"
"-9","ALL_RunHi1c-TAG-24.bam","BDMI01000005.1",23,12405435,12412097,6662,"Western D. praehensilis","Benin"
"-9","ALL_RunHi1c-TAG-24.bam","BDMI01000010.1",20,557325,559225,1900,"Western D. praehensilis","Benin"
"-9","ALL_RunHi1c-TAG-25.bam","BDMI01000001.1",26,10693111,10694969,1858,"Western D. praehensilis","Benin"
"-9","ALL_RunHi1c-TAG-25.bam","BDMI01000005.1",20,12405036,12411574,6538,"Western D. praehensilis","Benin"
"-9","ALL_RunHi1c-TAG-3.bam","BDMI01000005.1",26,12405036,12412048,7012,"Western D. praehensilis","Benin"
"-9","ALL_RunHi1c-TAG-3.bam","BDMI01000010.1",22,557366,561693,4327,"Western D. praehensilis","Benin"
"-9","ALL_RunHi1c-TAG-32.bam","BDMI01000005.1",26,12405435,12412697,7262,"Western D. praehensilis","Benin"
"-9","ALL_RunHi1c-TAG-33.bam","BDMI01000005.1",22,12404970,12411574,6604,"D. abyssinica","Benin"
"-9","ALL_RunHi1c-TAG-33.bam","BDMI01000017.1",28,9323045,9327893,4848,"D. abyssinica","Benin"
"-9","ALL_RunHi1c-TAG-34.bam","BDMI01000005.1",25,12405435,12412262,6827,"D. abyssinica","Benin"
"-9","ALL_RunHi1c-TAG-35.bam","BDMI01000001.1",24,10693174,10694969,1795,"Western D. praehensilis x D. rotundata","Benin"
"-9","ALL_RunHi1c-TAG-35.bam","BDMI01000005.1",31,12405036,12412697,7661,"Western D. praehensilis x D. rotundata","Benin"
"-9","ALL_RunHi1c-TAG-35.bam","BDMI01000010.1",20,557325,559225,1900,"Western D. praehensilis x D. rotundata","Benin"
"-9","ALL_RunHi1c-TAG-38.bam","BDMI01000005.1",25,12405036,12411770,6734,"D. rotundata","Benin"
"-9","ALL_RunHi1c-TAG-38.bam","BDMI01000017.1",20,9323045,9327660,4615,"D. rotundata","Benin"
"-9","ALL_RunHi1c-TAG-39.bam","BDMI01000001.1",20,10693339,10694969,1630,"D. rotundata","Benin"
"-9","ALL_RunHi1c-TAG-39.bam","BDMI01000010.1",23,557325,561693,4368,"D. rotundata","Benin"
"-9","ALL_RunHi1c-TAG-44.bam","BDMI01000001.1",20,10693339,10694969,1630,"D. rotundata","Benin"
"-9","ALL_RunHi1c-TAG-44.bam","BDMI01000005.1",23,12405435,12412097,6662,"D. rotundata","Benin"
"-9","ALL_RunHi1c-TAG-44.bam","BDMI01000010.1",21,557887,561693,3806,"D. rotundata","Benin"
"-9","ALL_RunHi1c-TAG-47.bam","BDMI01000010.1",21,557887,561693,3806,"D. rotundata","Benin"
"-9","ALL_RunHi1c-TAG-5.bam","BDMI01000005.1",30,12405036,12412262,7226,"D. rotundata","Benin"
"-9","ALL_RunHi1c-TAG-5.bam","BDMI01000010.1",20,557325,559225,1900,"D. rotundata","Benin"
"-9","ALL_RunHi1c-TAG-5.bam","BDMI01000017.1",21,9323045,9327693,4648,"D. rotundata","Benin"
"-9","ALL_RunHi1c-TAG-50.bam","BDMI01000001.1",24,10693174,10694969,1795,"D. rotundata","Benin"
"-9","ALL_RunHi1c-TAG-50.bam","BDMI01000005.1",23,12405435,12412097,6662,"D. rotundata","Benin"
"-9","ALL_RunHi1c-TAG-50.bam","BDMI01000010.1",23,557325,561693,4368,"D. rotundata","Benin"
"-9","ALL_RunHi1c-TAG-50.bam","BDMI01000017.1",24,9325168,9337886,12718,"D. rotundata","Benin"
"-9","ALL_RunHi1c-TAG-51.bam","BDMI01000001.1",26,10693111,10694969,1858,"D. rotundata","Benin"
"-9","ALL_RunHi1c-TAG-51.bam","BDMI01000005.1",27,12405036,12412090,7054,"D. rotundata","Benin"
"-9","ALL_RunHi1c-TAG-51.bam","BDMI01000017.1",28,9323045,9327893,4848,"D. rotundata","Benin"
